Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_865.jpg;0;0;0;0;99.67;85.58897;0.0002501944;35.09446;-3.742732E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_932.jpg;2.003427;0;0;0;99.67;85.58897;0.0002502654;35.33483;-4.165872E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_999.jpg;6.010921;0;0;0;99.67;85.58897;0.0002495438;36.1781;-4.747648E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_065.jpg;6.034345;0;0;0;99.67;85.58897;0.0002461256;37.8656;-5.513606E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_133.jpg;2.042109;0;0;0;99.67;85.58897;0.0002438003;38.35299;-5.5059E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_199.jpg;0;0;0;0;99.67;85.58897;0.0002426563;38.35596;-5.200212E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_266.jpg;4.037702;0;0;0;99.67;85.58897;0.0002430461;39.08139;-4.958753E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_333.jpg;4.029714;0;0;0;99.66999;85.58897;0.0002417586;39.9262;-4.886077E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_399.jpg;0.02698168;0;0;0;99.66999;85.58897;0.0002401341;40.17151;-4.455332E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_466.jpg;0;0;0;0;99.66999;85.58897;0.0002395223;40.17151;-3.512951E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_533.jpg;0;0;0;0;99.66999;85.58897;0.0002391165;40.17151;-2.766927E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_599.jpg;0;0;0;0;99.66999;85.58897;0.0002380108;40.17151;-2.047534E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_666.jpg;0;0;0;0;99.66999;85.58897;0.0002369082;40.17151;-1.151485E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_733.jpg;0;0;0;0;99.66999;85.58897;0.0002358268;40.17151;-5.133324E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_799.jpg;0;0;0;0;99.66999;85.58897;0.0002349995;40.17151;9.544049E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_866.jpg;0;0;0;0;99.66999;85.58897;0.0002341461;40.17151;8.618539E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_933.jpg;0;0;0;0;99.66999;85.58897;0.0002333294;40.17151;1.341679E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_05_999.jpg;0;0;0;0;99.66999;85.58897;0.0002324471;40.17151;1.759621E-05
